station name,month,Precipitation Amount [mm],Maximum Precipitation [mm],Maximum Snow Depth [cm],Number of Days With Gale-Force Wind,Number of Days With a Thunderstorm,Number of Days With Precipitation >0.1 mm,Number of Days With Precipitation >1 mm,Number of Days With Precipitation >10 mm,Number of Days With Precipitation >20 mm,Number of Days With Snowfall >0.1 mm,Number of Days With Snow Cover,Number of Days With Fog,Number of Days With Hail
Šempas,2022/01,48.5,36.4,0,0,0,6,3,1,1,0,0,11,0
Šempas,2022/02,58.9,21.8,0,0,0,8,7,3,1,0,0,7,0
Šempas,2022/03,8.6,8.6,0,0,0,1,1,0,0,0,0,1,0
Šempas,2022/04,114.7,22.3,0,0,0,12,11,5,1,0,0,2,0
Šempas,2022/05,42.4,8,0,0,4,12,10,0,0,0,0,3,0
Šempas,2022/06,73,25.5,0,1,6,9,6,3,2,0,0,0,0
Šempas,2022/07,46.3,23,0,0,5,9,7,1,1,0,0,0,0
Šempas,2022/08,68.8,25,0,1,9,9,6,3,1,0,0,0,0
Šempas,2022/09,401.9,74,0,0,7,15,14,9,9,0,0,2,0
Šempas,2022/10,75.2,43,0,0,1,5,4,2,2,0,0,19,0
Šempas,2022/11,128.1,34,0,0,0,14,14,4,2,0,0,11,0
Šempas,2022/12,257.3,95.6,0,0,1,24,16,5,5,0,0,17,0
Šempas,2023/01,173.2,51.3,0,0,0,18,12,5,3,0,0,8,0
Šempas,2023/02,0.2,0.2,0,0,0,1,0,0,0,0,0,3,0
Šempas,2023/03,78.8,30.1,0,0,1,10,9,2,1,0,0,2,0
Šempas,2023/04,106.8,39.5,0,0,2,13,10,2,2,0,0,0,0
Šempas,2023/05,91.4,17.5,0,0,5,15,11,3,0,0,0,0,0
Šempas,2023/06,106.2,39.8,0,0,2,17,14,2,2,0,0,1,0
Šempas,2023/07,188.7,39.6,0,0,12,15,9,7,5,0,0,0,1
Šempas,2023/08,310.3,145,0,0,9,11,9,6,3,0,0,0,0
Šempas,2023/09,105.6,28.7,0,0,1,11,10,3,2,0,0,3,0
Šempas,2023/10,252.4,85,0,0,1,12,11,8,6,0,0,11,1
Šempas,2023/11,255,80,0,0,2,13,10,6,3,0,0,8,0
Šempas,2023/12,200.4,91.5,0,0,0,12,8,5,2,0,0,11,0
Šempas,2024/01,204.5,57.8,0,0,1,12,9,6,4,0,0,8,0
Šempas,2024/02,102.3,30.5,0,0,1,13,7,4,2,0,0,6,0
Šempas,2024/03,155.5,32,0,0,1,18,13,5,3,0,0,4,1
Šempas,2024/04,124.7,44.8,0,0,1,12,9,4,3,0,0,1,0
Šempas,2024/05,156.3,30.4,0,0,3,17,11,6,4,0,0,0,0
Šempas,2024/06,206.5,99.7,0,0,6,13,9,5,3,0,0,0,0
Šempas,2024/07,67.8,16.2,0,1,3,9,6,3,0,0,0,1,1
Šempas,2024/08,156,55.1,0,0,7,8,6,5,4,0,0,0,1
Šempas,2024/09,241,70,0,0,4,15,12,6,5,0,0,1,0
Šempas,2024/10,251.3,99.5,0,0,1,15,15,7,4,0,0,8,0
Šempas,2024/11,54.4,34,0,0,0,6,6,2,1,0,0,6,0
Šempas,2024/12,90.4,65,0,0,0,4,2,2,2,0,0,5,0
Šempas,2025/01,216.1,52,0,0,1,15,11,7,4,0,0,11,0
Šempas,2025/02,56.1,17,0,0,0,9,8,2,0,0,0,9,0
Šempas,2025/03,304.1,95.9,0,0,2,11,11,7,6,0,0,0,0
Šempas,2025/04,112.3,45.6,0,0,2,9,7,4,2,0,0,0,0
Šempas,2025/05,161.9,28.9,0,0,4,17,14,5,4,0,0,0,1
Šempas,2025/06,38.5,31.4,0,0,2,5,3,1,1,0,0,0,0
Šempas,2025/07,209.6,64,0,0,7,15,14,6,2,0,0,0,1
Šempas,2025/08,226.2,67.4,0,0,7,13,13,7,5,0,0,0,0
Šempas,2025/09,349.6,82,0,0,5,11,9,7,7,0,0,1,0
